JENIS,NOFAKTUR,TGL,NOSO,TUTUPSO,JATUHTEMPO,KODECUSTOMER,NAMACUSTOMER,ALAMATCUSTOMER,KODESALESMAN,NAMASALESMAN,KODEGUDANG,NAMAGUDANG,KODEBARANG,NAMABARANG,QTY,HARGAJUAL,SATUANKECIL,PDISCOUNTITEM,PDISCOUNTITEM2,PDISCOUNTITEM3,DISCOUNTITEM,NETTO,KETERANGAN,KODESUPLIER,NAMASUPLIER
JUAL,261.000.023,05/01/2026 0:00,2512300879,T,,K.410,SUMBER JAYA,PUNGKUR 21,L,RUDI *,1,GUDANG BAIK,2101416,Crystal Coat Thinner  1 LITER,24.00,"51,000.00",KL,5.00,0.00,0.00,"61,200.00","1,162,800.00",,1,"INDOWIRA, PT"
JUAL,261.000.023,05/01/2026 0:00,2512300879,T,,K.410,SUMBER JAYA,PUNGKUR 21,L,RUDI *,1,GUDANG BAIK,2101367,Crystal Coat Candytone Golden Oran 1 LITER,12.00,"657,000.00",KL,10.00,5.00,0.00,"1,143,180.00","6,740,820.00",,1,"INDOWIRA, PT"
JUAL,261.000.024,05/01/2026 0:00,2512260781,T,,K.410,SUMBER JAYA,PUNGKUR 21,L,RUDI *,1,GUDANG BAIK,2104147,Wiratex Wall Paint Putih Salju 25 KG,1.00,"390,000.00",PL,7.50,0.00,0.00,"29,250.00","360,750.00",,1,"INDOWIRA, PT"
JUAL,261.000.025,05/01/2026 0:00,2512220636,T,,K.527,PT.AKD,SADANG,14,DEPO BANDUNG,1,GUDANG BAIK,2102840,Petalac 2K PU Hardener Special  200 CC,12.00,"55,000.00",KL,10.00,0.00,0.00,"66,000.00","594,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.025,05/01/2026 0:00,2512220636,T,,K.527,PT.AKD,SADANG,14,DEPO BANDUNG,1,GUDANG BAIK,2200050,"Petalac 2K PU Clear Matt MV3 Base 0,8Lt",12.00,"121,000.00",KL,10.00,0.00,0.00,"145,200.00","1,306,800.00",,1,"INDOWIRA, PT"
JUAL,261.000.026,05/01/2026 0:00,2512170533,T,,K.527,PT.AKD,SADANG,14,DEPO BANDUNG,1,GUDANG BAIK,2102840,Petalac 2K PU Hardener Special  200 CC,24.00,"55,000.00",KL,10.00,0.00,0.00,"132,000.00","1,188,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.026,05/01/2026 0:00,2512170533,T,,K.527,PT.AKD,SADANG,14,DEPO BANDUNG,1,GUDANG BAIK,2200050,"Petalac 2K PU Clear Matt MV3 Base 0,8Lt",24.00,"121,000.00",KL,10.00,0.00,0.00,"290,400.00","2,613,600.00",,1,"INDOWIRA, PT"
JUAL,261.000.027,05/01/2026 0:00,2512180578,T,,B.414,SALUYU III,PESANTREN 53A,U,GANIS,1,GUDANG BAIK,2104157,Wiratex Wall Paint 806 Cream 5KG,1.00,"83,000.00",GL,7.50,0.00,0.00,"6,225.00","76,775.00",,1,"INDOWIRA, PT"
JUAL,261.000.028,05/01/2026 0:00,2512260773,T,,D.623,SETIA 2,SERSAN BAJURI 19 LEDENG,Y,KEN - Y,1,GUDANG BAIK,2104042,Shintex Wall Paint Super White 5KG,4.00,"110,000.00",GLN,7.50,0.00,0.00,"33,000.00","407,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.029,05/01/2026 0:00,2512290862,T,,GB.23,TB.SKJ,JL.RAYA CITALANG TEGAL WARU PLERED PWK,G,JULIANTO,1,GUDANG BAIK,2100011,AlFa Polyester Putty  3KG,24.00,"103,000.00",GLN,5.00,0.00,0.00,"123,600.00","2,348,400.00",,1,"INDOWIRA, PT"
